id;inventory;exp;gender;age;TI;religiousity;course;extraversion;agreeableness;conscientiousness;neuroticism;openness;assertiveness;activity;altruism;compliance;order;selfdiscipline;ansiety;depression;aesthetics;ideas
17;facebook;0;male;24;yes;2;1;2,75;4,56;3,56;2,38;3,30;2,20;3,50;4,75;4,00;4,50;3,20;2,75;2,00;2,00;4,00
19;facebook;2;female;39;yes;3;0;4,13;3,22;3,11;3,50;3,40;4,40;3,50;4,00;2,33;2,00;3,60;3,75;3,50;4,00;3,00
20;facebook;2;female;31;no;4;0;4,25;3,67;4,67;2,50;3,50;4,40;3,50;4,50;2,67;4,00;5,00;3,00;1,50;3,67;3,20
21;facebook;2;male;28;yes;3;0;3,38;3,56;2,78;4,13;4,00;3,20;3,50;3,50;3,33;2,00;3,00;4,50;3,00;2,33;4,80
22;facebook;2;female;31;no;4;0;4,13;4,11;3,33;2,75;3,80;4,20;3,50;4,75;3,00;3,50;3,20;3,75;1,50;4,33;3,80
23;facebook;0;female;39;no;2;0;3,25;3,67;3,11;4,38;4,50;2,60;4,50;4,75;2,67;2,00;3,60;4,75;4,50;5,00;4,40
24;facebook;0;female;29;yes;2;1;2,00;2,89;3,67;4,88;4,10;1,20;3,50;2,50;2,67;2,50;3,60;5,00;4,50;4,33;4,20
25;facebook;2;female;23;no;4;0;3,63;3,56;2,33;4,13;3,60;3,40;4,00;4,25;2,67;1,00;2,20;4,00;4,00;3,33;3,60
26;facebook;0;female;;;;0;3,38;3,44;2,89;4,00;2,80;3,40;3,50;3,75;3,33;2,00;3,00;4,25;4,50;3,00;2,60
27;facebook;0;female;24;yes;4;1;4,25;4,56;3,89;2,63;4,40;4,00;5,00;4,75;4,00;2,50;4,00;3,50;1,50;4,67;4,20
28;facebook;2;female;28;no;3;0;3,88;3,78;4,33;3,00;4,40;4,00;3,50;4,50;2,67;3,00;4,60;3,75;1,50;4,33;4,60
29;facebook;0;female;;;;0;3,13;3,78;3,00;2,50;4,70;3,20;3,00;4,50;3,00;2,00;3,00;2,00;3,00;4,33;4,80
30;facebook;0;female;27;no;2;0;4,63;3,11;3,11;4,00;3,80;4,60;4,50;4,00;2,33;2,50;2,80;4,50;2,50;2,67;4,40
31;facebook;2;female;30;no;3;7;3,50;3,44;3,56;4,13;3,20;3,60;3,00;4,00;2,67;3,00;3,60;4,25;3,00;3,00;3,20
32;facebook;2;female;28;no;2;0;4,63;3,56;2,67;3,50;2,80;5,00;3,50;4,50;1,67;2,00;3,00;3,75;2,50;2,00;2,80
33;facebook;2;female;29;no;4;0;2,75;3,78;2,33;3,38;3,30;2,60;2,50;4,00;3,67;1,00;2,60;2,75;4,00;2,67;3,60
34;facebook;0;female;37;no;4;0;2,63;4,22;3,89;4,38;4,30;2,00;3,50;5,00;3,67;2,00;4,40;4,75;3,00;4,67;4,00
35;facebook;0;male;42;yes;4;0;3,50;4,11;3,89;1,25;3,40;3,40;3,50;4,50;3,33;3,50;4,00;1,50;1,00;2,00;4,00
36;facebook;2;male;27;yes;4;0;3,13;3,89;3,89;2,63;3,60;3,20;2,50;3,75;3,67;4,00;4,00;2,75;1,00;3,33;3,80
37;facebook;0;male;24;yes;1;1;1,75;2,67;4,11;4,38;4,70;1,80;2,00;2,50;2,33;3,00;4,20;5,00;3,50;4,67;4,80
38;facebook;0;female;24;yes;2;1;2,25;3,11;3,44;3,75;2,60;2,00;3,00;3,75;2,33;2,00;3,60;4,25;3,00;2,00;2,80
39;facebook;0;female;21;no;2;0;2,75;4,22;3,56;3,00;3,70;2,40;3,50;4,25;4,00;3,00;3,40;3,50;1,50;3,67;3,80
40;facebook;0;male;40;yes;1;0;4,13;3,00;2,44;2,13;3,90;4,40;3,50;3,00;2,67;2,00;2,40;2,00;2,00;3,00;4,60
41;facebook;0;male;35;yes;1;1;1,75;3,78;3,56;4,00;4,20;1,60;2,00;4,25;2,33;2,50;3,80;4,00;4,00;4,00;4,20
42;facebook;0;male;28;yes;5;1;2,38;3,11;3,89;3,00;4,00;1,40;4,50;4,00;1,67;1,50;4,40;3,00;3,00;4,00;3,60
43;facebook;0;female;24;yes;2;1;3,75;3,89;2,67;3,25;3,20;3,40;4,50;4,00;3,67;2,00;2,40;3,50;2,50;2,67;3,40
44;facebook;0;male;28;yes;;1;2,88;3,56;4,00;2,75;4,00;3,00;2,50;3,75;3,00;3,50;4,20;3,00;3,00;3,33;4,40
46;facebook;0;male;30;yes;2;1;4,25;3,67;2,56;1,88;4,10;4,00;4,50;4,25;3,00;2,50;2,60;2,50;1,00;3,33;4,40
47;facebook;0;male;28;no;3;0;1,63;3,89;3,56;3,00;2,80;1,40;2,00;4,25;4,00;2,50;3,80;2,75;3,00;2,67;3,20
48;facebook;0;male;27;yes;3;1;3,00;3,00;2,44;3,13;3,20;2,80;3,00;4,00;1,67;1,00;2,60;3,50;2,50;3,00;3,20
50;facebook;0;male;37;no;1;0;3,63;3,78;3,56;2,88;4,80;3,80;2,50;4,00;3,67;2,50;3,60;2,75;3,00;5,00;4,80
51;facebook;0;male;20;yes;4;1;2,38;3,56;3,11;1,63;2,50;2,20;3,00;3,50;3,33;2,50;3,20;2,00;1,00;1,33;3,20
52;facebook;0;male;30;yes;3;1;2,50;2,78;3,44;3,88;3,20;2,60;2,50;3,25;2,33;2,00;3,60;3,75;4,00;3,00;3,40
53;facebook;0;male;22;yes;;1;3,75;4,11;4,33;2,38;3,80;3,80;3,50;4,50;3,33;3,00;4,80;2,75;1,50;3,00;4,20
54;facebook;0;male;27;yes;4;1;3,50;2,44;3,00;4,00;3,50;3,80;3,50;3,00;1,67;2,00;3,00;3,50;4,00;3,00;4,00
56;facebook;0;female;21;yes;4;1;4,00;3,67;3,00;3,38;3,20;4,40;3,00;4,25;3,33;2,00;3,20;3,75;2,00;3,33;3,00
57;facebook;0;male;27;yes;5;1;3,38;3,22;3,22;3,88;4,80;3,20;3,50;3,50;2,67;3,00;3,20;3,50;4,50;4,67;5,00
58;facebook;5;male;20;yes;3;1;4,38;4,00;3,22;1,50;4,50;4,20;4,50;4,00;3,33;2,50;3,20;1,50;1,50;4,33;4,80
60;facebook;0;male;21;yes;1;1;3,75;4,44;2,00;1,50;4,60;3,60;3,50;4,50;4,00;1,00;2,40;1,00;2,50;4,67;4,40
62;facebook;0;female;24;no;3;0;2,75;3,89;3,56;2,75;4,10;2,20;3,50;3,75;4,00;3,50;3,40;3,00;1,50;4,00;4,00
63;facebook;0;female;;;;0;2,38;3,00;2,00;3,13;3,90;1,60;4,00;3,00;3,67;2,00;2,00;2,75;3,00;4,67;4,00
64;facebook;0;female;22;yes;;0;2,25;4,22;3,78;4,00;3,90;2,00;3,00;4,25;4,33;3,50;3,80;3,50;4,50;4,00;3,60
65;facebook;0;female;20;yes;1;1;3,25;2,89;2,67;4,75;3,60;3,00;3,50;3,25;2,33;1,50;2,60;4,75;4,50;4,33;3,60
66;facebook;0;female;27;yes;2;1;2,75;2,78;3,44;4,00;3,80;2,40;3,00;3,25;2,00;1,50;3,80;3,75;4,00;1,67;4,60
67;facebook;0;male;23;yes;1;1;2,88;3,33;2,33;2,25;4,70;2,80;3,00;3,75;2,67;2,00;2,00;2,25;2,50;4,00;5,00
68;facebook;0;female;24;yes;2;1;2,00;3,11;3,00;2,63;3,90;1,60;3,00;3,25;2,67;2,50;2,80;2,75;2,00;3,33;4,40
70;facebook;0;male;23;yes;3;1;2,00;3,22;3,00;1,75;3,30;1,60;3,00;2,50;4,00;2,50;3,20;1,50;2,00;3,00;3,60
